"","stratum","stdtest","sampledtest"
"1144",4,4,4
"1145",5,4,4
"1146",6,4,4
"1147",1,3,NA
"1148",2,3,3
"1149",3,3,3
"1150",4,3,NA
"1151",5,3,3
"1152",6,3,NA
"1153",1,3,3
"1154",2,2,3
"1155",3,3,3
"1156",4,3,3
"1157",5,3,NA
"1158",6,3,3
"1159",1,4,3
"1160",2,1,1
"1161",3,3,3
"1162",4,1,NA
"1163",5,1,2
"1164",6,2,NA
"1165",1,1,1
"1166",2,1,1
"1167",3,1,NA
"1168",4,1,1
"1169",5,1,1
"1170",6,2,3
"1171",1,3,NA
"1172",2,2,NA
"1173",3,3,3
"1174",4,3,3
"1175",5,3,3
"1176",6,3,2
"1177",1,4,NA
"1178",2,4,NA
"1179",3,4,4
"1180",4,4,4
"1181",5,4,4
"1182",6,4,NA
"1183",1,3,3
"1184",2,1,1
"1185",3,2,NA
"1186",4,3,2
"1187",5,3,NA
"1188",6,2,1
"1189",1,4,4
"1190",2,4,4
"1191",3,4,4
"1192",4,4,NA
"1193",5,4,4
"1194",6,4,4
"1195",1,3,2
"1196",2,1,2
"1197",3,3,NA
"1198",4,1,2
"1199",5,1,NA
"1200",6,2,3
"1201",1,4,4
"1202",2,4,NA
"1203",3,4,4
"1204",4,4,4
"1205",5,4,4
"1206",6,4,NA
"1207",1,3,NA
"1208",2,2,2
"1209",3,3,3
"1210",4,3,3
"1211",5,3,3
"1212",6,3,NA
"1213",1,1,NA
"1214",2,2,2
"1215",3,1,1
"1216",4,2,2
"1217",5,2,NA
"1218",6,2,2
"1219",1,1,2
"1220",2,2,NA
"1221",3,1,1
"1222",4,2,NA
"1223",5,2,2
"1224",6,2,2
"1225",1,2,2
"1226",2,4,3
"1227",3,2,NA
"1228",4,2,2
"1229",5,2,2
"1230",6,3,2
"1231",1,4,3
"1232",2,4,NA
"1233",3,4,4
"1234",4,3,NA
"1235",5,4,4
"1236",6,4,2
"1237",1,2,NA
"1238",2,3,4
"1239",3,2,2
"1240",4,2,2
"1241",5,2,NA
"1242",6,3,NA
"1243",1,1,1
"1244",2,1,1
"1245",3,1,1
"1246",4,1,1
"1247",5,1,NA
"1248",6,3,NA
"1249",1,1,2
"1250",2,3,2
"1251",3,1,1
"1252",4,2,NA
"1253",5,2,2
"1254",6,2,2
"1255",1,1,NA
"1256",2,3,3
"1257",3,1,NA
"1258",4,2,2
"1259",5,2,2
"1260",6,2,2
"1261",1,1,1
"1262",2,2,NA
"1263",3,1,1
"1264",4,3,2
"1265",5,1,1
"1266",6,2,3
"1267",1,4,NA
"1268",2,4,4
"1269",3,4,NA
"1270",4,3,3
"1271",5,4,3
"1272",6,4,NA
"1273",1,1,1
"1274",2,1,2
"1275",3,1,1
"1276",4,1,NA
"1277",5,1,NA
"1278",6,3,1
